"Code";"Description"
"02Q";"Titan Airways"
"04Q";"Tradewind Aviation"
"05Q";"Comlux Aviation, AG"
"06Q";"Master Top Linhas Aereas Ltd."
"07Q";"Flair Airlines Ltd."
"09Q";"Swift Air, LLC"
"0BQ";"DCA"
"0CQ";"ACM AIR CHARTER GmbH"
"0GQ";"Inter Island Airways, d/b/a Inter Island Air"
"0HQ";"Polar Airlines de Mexico d/b/a Nova Air"
"0J";"JetClub AG"
"0JQ";"Vision Airlines"
"0LQ";"Metropix UK, LLP."
"0MQ";"Multi-Aero, Inc. d/b/a Air Choice One"
"0OQ";"Open Skies"
"0Q";"Flying Service N.V."
"0QQ";"TAG Aviation (UK) Ltd."
"0RQ";"TAG Aviation Espana S.L."
"0TQ";"Corporatejets, XXI"
"0UQ";"Comlux Malta, Ltd."
"0VQ";"Ocean Sky (UK) Limited"
"0WQ";"Avjet Corporation"
"0YQ";"Comlux Malta Ltd."
"10Q";"Swiss Air Ambulance"
"12Q";"Unijet"
"13Q";"Chartright Air Inc."
"14Q";"London Air Services Limited"
"15Q";"Air Alsie A/S"
"16";"PSA Airlines Inc."
"17";"Piedmont Airlines"
"17Q";"Albinati Aeronautics SA"
"1AQ";"Charter Air Transport, Inc."
"1BQ";"Dynamic Airways, LLC"
"1DQ";"Island Airlines LLC"
"1EQ";"KaiserAir, Inc."
"1FQ";"Alsek Air"
"1HQ";"International Jet Management GmbH"
"1I";"Sky Trek International Airlines"
"1IQ";"Jet link AG"
"1JQ";"Exec Direct Aviation Services Limited"
"1LQ";"Bertelsmann Aviation GmbH"
"1MQ";"Twin Cities Air Service LLC"
"1NQ";"JSC The 224th Flight Unit State Airlines"
"1PQ";"Makani Kai Air Charters"
"1QQ";"City Wings Inc dba Seaflight"
"1RQ";"Sun Air Express LLC dba Sun Air International"
"1SQ";"Star Marianas Air Inc."
"1TQ";"Rhoades Aviation dba Transair"
"1UQ";"Gainjet Aviation SA"
