"Year";"Quarter";"Month";"DayofMonth";"DayOfWeek";"FlightDate";"Marketing_Airline_Network";"Operated_or_Branded_Code_Share_Partners";"DOT_ID_Marketing_Airline";"IATA_Code_Marketing_Airline";"Flight_Number_Marketing_Airline";"Originally_Scheduled_Code_Share_Airline";"DOT_ID_Originally_Scheduled_Code_Share_Airline";"IATA_Code_Originally_Scheduled_Code_Share_Airline";"Flight_Num_Originally_Scheduled_Code_Share_Airline";"Operating_Airline ";"DOT_ID_Operating_Airline";"IATA_Code_Operating_Airline";"Tail_Number";"Flight_Number_Operating_Airline";"OriginAirportID";"OriginAirportSeqID";"OriginCityMarketID";"Origin";"OriginCityName";"OriginState";"OriginStateFips";"OriginStateName";"OriginWac";"DestAirportID";"DestAirportSeqID";"DestCityMarketID";"Dest";"DestCityName";"DestState";"DestStateFips";"DestStateName";"DestWac";"CRSDepTime";"DepTime";"DepDelay";"DepDelayMinutes";"DepDel15";"DepartureDelayGroups";"DepTimeBlk";"TaxiOut";"WheelsOff";"WheelsOn";"TaxiIn";"CRSArrTime";"ArrTime";"ArrDelay";"ArrDelayMinutes";"ArrDel15";"ArrivalDelayGroups";"ArrTimeBlk";"Cancelled";"CancellationCode";"Diverted";"CRSElapsedTime";"ActualElapsedTime";"AirTime";"Flights";"Distance";"DistanceGroup";"CarrierDelay";"WeatherDelay";"NASDelay";"SecurityDelay";"LateAircraftDelay";"FirstDepTime";"TotalAddGTime";"LongestAddGTime";"DivAirportLandings";"DivReachedDest";"DivActualElapsedTime";"DivArrDelay";"DivDistance";"Div1Airport";"Div1AirportID";"Div1AirportSeqID";"Div1WheelsOn";"Div1TotalGTime";"Div1LongestGTime";"Div1WheelsOff";"Div1TailNum";"Div2Airport";"Div2AirportID";"Div2AirportSeqID";"Div2WheelsOn";"Div2TotalGTime";"Div2LongestGTime";"Div2WheelsOff";"Div2TailNum";"Div3Airport";"Div3AirportID";"Div3AirportSeqID";"Div3WheelsOn";"Div3TotalGTime";"Div3LongestGTime";"Div3WheelsOff";"Div3TailNum";"Div4Airport";"Div4AirportID";"Div4AirportSeqID";"Div4WheelsOn";"Div4TotalGTime";"Div4LongestGTime";"Div4WheelsOff";"Div4TailNum";"Div5Airport";"Div5AirportID";"Div5AirportSeqID";"Div5WheelsOn";"Div5TotalGTime";"Div5LongestGTime";"Div5WheelsOff";"Div5TailNum";"Duplicate"
"2022";"1";"1";"6";"4";"2022-01-06";"DL";"DL";"19790";"DL";"1581";"";"";"";"";"DL";"19790";"DL";"N315DN";"1581";"11697";"1169706";"32467";"FLL";"Fort Lauderdale, FL";"FL";"12";"Florida";"33";"12953";"1295304";"31703";"LGA";"New York, NY";"NY";"36";"New York";"22";"1126";"";"";"";"";"";"1100-1159";"";"";"";"";"1419";"";"";"";"";"";"1400-1459";"1.00";"A";"0.00";"173.00";"";"";"1.00";"1076.00";"5";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N"
"2022";"1";"1";"6";"4";"2022-01-06";"DL";"DL";"19790";"DL";"1582";"";"";"";"";"DL";"19790";"DL";"N545US";"1582";"10397";"1039707";"30397";"ATL";"Atlanta, GA";"GA";"13";"Georgia";"34";"11697";"1169706";"32467";"FLL";"Fort Lauderdale, FL";"FL";"12";"Florida";"33";"1631";"1627";"-4.00";"0.00";"0.00";"-1";"1600-1659";"15.00";"1642";"1815";"5.00";"1821";"1820";"-1.00";"0.00";"0.00";"-1";"1800-1859";"0.00";"";"0.00";"110.00";"113.00";"93.00";"1.00";"581.00";"3";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N"
"2022";"1";"1";"6";"4";"2022-01-06";"DL";"DL";"19790";"DL";"1582";"";"";"";"";"DL";"19790";"DL";"N545US";"1582";"11697";"1169706";"32467";"FLL";"Fort Lauderdale, FL";"FL";"12";"Florida";"33";"10397";"1039707";"30397";"ATL";"Atlanta, GA";"GA";"13";"Georgia";"34";"1931";"1929";"-2.00";"0.00";"0.00";"-1";"1900-1959";"13.00";"1942";"2105";"10.00";"2127";"2115";"-12.00";"0.00";"0.00";"-1";"2100-2159";"0.00";"";"0.00";"116.00";"106.00";"83.00";"1.00";"581.00";"3";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N"
"2022";"1";"1";"6";"4";"2022-01-06";"DL";"DL";"19790";"DL";"1583";"";"";"";"";"DL";"19790";"DL";"N345NB";"1583";"11697";"1169706";"32467";"FLL";"Fort Lauderdale, FL";"FL";"12";"Florida";"33";"14492";"1449202";"34492";"RDU";"Raleigh/Durham, NC";"NC";"37";"North Carolina";"36";"1024";"1019";"-5.00";"0.00";"0.00";"-1";"1000-1059";"17.00";"1036";"1209";"3.00";"1227";"1212";"-15.00";"0.00";"0.00";"-1";"1200-1259";"0.00";"";"0.00";"123.00";"113.00";"93.00";"1.00";"680.00";"3";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N"
"2022";"1";"1";"6";"4";"2022-01-06";"DL";"DL";"19790";"DL";"1584";"";"";"";"";"DL";"19790";"DL";"N978AT";"1584";"10397";"1039707";"30397";"ATL";"Atlanta, GA";"GA";"13";"Georgia";"34";"12448";"1244807";"32448";"JAN";"Jackson/Vicksburg, MS";"MS";"28";"Mississippi";"53";"1117";"1113";"-4.00";"0.00";"0.00";"-1";"1100-1159";"14.00";"1127";"1127";"4.00";"1142";"1131";"-11.00";"0.00";"0.00";"-1";"1100-1159";"0.00";"";"0.00";"85.00";"78.00";"60.00";"1.00";"341.00";"2";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N"
"2022";"1";"1";"6";"4";"2022-01-06";"DL";"DL";"19790";"DL";"1584";"";"";"";"";"DL";"19790";"DL";"N978AT";"1584";"12448";"1244807";"32448";"JAN";"Jackson/Vicksburg, MS";"MS";"28";"Mississippi";"53";"10397";"1039707";"30397";"ATL";"Atlanta, GA";"GA";"13";"Georgia";"34";"1237";"1230";"-7.00";"0.00";"0.00";"-1";"1200-1259";"11.00";"1241";"1430";"5.00";"1458";"1435";"-23.00";"0.00";"0.00";"-2";"1400-1459";"0.00";"";"0.00";"81.00";"65.00";"49.00";"1.00";"341.00";"2";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N"
"2022";"1";"1";"6";"4";"2022-01-06";"DL";"DL";"19790";"DL";"1585";"";"";"";"";"DL";"19790";"DL";"N878DN";"1585";"14524";"1452401";"34524";"RIC";"Richmond, VA";"VA";"51";"Virginia";"38";"10397";"1039707";"30397";"ATL";"Atlanta, GA";"GA";"13";"Georgia";"34";"0900";"0857";"-3.00";"0.00";"0.00";"-1";"0900-0959";"13.00";"0910";"1030";"8.00";"1050";"1038";"-12.00";"0.00";"0.00";"-1";"1000-1059";"0.00";"";"0.00";"110.00";"101.00";"80.00";"1.00";"481.00";"2";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N"
"2022";"1";"1";"6";"4";"2022-01-06";"DL";"DL";"19790";"DL";"1586";"";"";"";"";"DL";"19790";"DL";"N596NW";"1586";"13487";"1348702";"31650";"MSP";"Minneapolis, MN";"MN";"27";"Minnesota";"63";"14635";"1463502";"31714";"RSW";"Fort Myers, FL";"FL";"12";"Florida";"33";"1000";"1018";"18.00";"18.00";"1.00";"1";"1000-1059";"15.00";"1033";"1431";"4.00";"1433";"1435";"2.00";"2.00";"0.00";"0";"1400-1459";"0.00";"";"0.00";"213.00";"197.00";"178.00";"1.00";"1416.00";"6";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N"
"2022";"1";"1";"6";"4";"2022-01-06";"DL";"DL";"19790";"DL";"1587";"";"";"";"";"DL";"19790";"DL";"N872DN";"1587";"10397";"1039707";"30397";"ATL";"Atlanta, GA";"GA";"13";"Georgia";"34";"14492";"1449202";"34492";"RDU";"Raleigh/Durham, NC";"NC";"37";"North Carolina";"36";"1414";"1422";"8.00";"8.00";"0.00";"0";"1400-1459";"11.00";"1433";"1528";"3.00";"1533";"1531";"-2.00";"0.00";"0.00";"-1";"1500-1559";"0.00";"";"0.00";"79.00";"69.00";"55.00";"1.00";"356.00";"2";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N"
"2022";"1";"1";"6";"4";"2022-01-06";"DL";"DL";"19790";"DL";"1587";"";"";"";"";"DL";"19790";"DL";"N872DN";"1587";"14492";"1449202";"34492";"RDU";"Raleigh/Durham, NC";"NC";"37";"North Carolina";"36";"10397";"1039707";"30397";"ATL";"Atlanta, GA";"GA";"13";"Georgia";"34";"1643";"1640";"-3.00";"0.00";"0.00";"-1";"1600-1659";"12.00";"1652";"1759";"4.00";"1814";"1803";"-11.00";"0.00";"0.00";"-1";"1800-1859";"0.00";"";"0.00";"91.00";"83.00";"67.00";"1.00";"356.00";"2";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N"
